,mean,max,std,variance,peak_to_peek,RMS,fname
313,0.0004572627315391805,0.02591042196745236,0.00135320598784149,1.8311664455300627e-06,0.025908320571986682,0.021383702474996713,acc#2022_12_4#12_10_8#-761989#10909234#138
314,0.0003520276763696787,0.010711243322469316,0.000678289277877216,4.6007634448319524e-07,0.010710979271006098,0.018762400602526284,acc#2022_12_4#12_52_21#-761210#10949651#138
315,0.002446655204752914,0.031647384455804846,0.003951592079730907,1.5615079964592035e-05,0.03160449190648637,0.049463675609005386,acc#2022_12_4#9_55_39#-723723#10818937#454
316,0.0012525191186494634,0.10136463636954147,0.006244923517840934,3.899906974368278e-05,0.10135605627188266,0.035390946845902035,acc#2022_12_4#6_18_52#-691412#10760320#174
317,0.0004507418017196216,0.013530995629015713,0.0009611173143352004,9.237464919149084e-07,0.013525586966491423,0.021230680670190998,acc#2022_12_4#12_51_18#-761332#10948660#138
318,0.0008011712113078971,0.03075694594742974,0.0023046994693465533,5.3116396440062845e-06,0.03074502067653222,0.02830496796161227,acc#2022_12_4#9_49_2#-717329#10816892#165
319,0.00042318875123031246,0.008776310639099326,0.0007228263861960855,5.224779845812925e-07,0.008773394958666221,0.020571551988858607,acc#2022_12_4#13_8_51#-767931#10964042#138
320,0.00046896083078821506,0.021639413900862232,0.0013171127862127631,1.734786091605148e-06,0.02163508237369412,0.02165550347574988,acc#2022_12_4#8_24_25#-706833#10789281#150
321,0.00047433290745859947,0.025299870360563168,0.0014712110599223891,2.1644619828379597e-06,0.025296146003402884,0.02177918518812399,acc#2022_12_4#13_20_10#-771476#10972929#138
322,0.00039847421349976307,0.01350014177352234,0.0008390231847596434,7.039599045642148e-07,0.013497953288576729,0.01996181889256996,acc#2022_12_4#13_28_55#-772431#10985619#137
323,0.0004056069996304114,0.005586073225254105,0.0006801629603504368,4.6262165263266977e-07,0.005581733897423339,0.020139687178067373,acc#2022_12_4#11_37_39#-748406#10880234#144
324,0.0003763191342839071,0.010523041201421612,0.000798003885712286,6.368102016119072e-07,0.010521717077447207,0.019398946731302373,acc#2022_12_4#12_51_35#-761300#10948933#142
325,0.00047129491488244045,0.02394429651800013,0.0012727717905880978,1.6199480309168326e-06,0.023940843191662835,0.021709327831198284,acc#2022_12_4#13_54_16#-787395#11007557#138
326,0.0004413317182921197,0.03138703616319704,0.0016006328162667953,2.5620254125101727e-06,0.0313843256116716,0.021007896569911984,acc#2022_12_4#12_7_55#-762227#10906667#137
327,0.0004622718570437004,0.00960636129618187,0.0008880532897969395,7.88638645519167e-07,0.009602997087018797,0.021500508297333354,acc#2022_12_4#13_59_46#-786223#11014915#145
328,0.0004531722847609535,0.01455509966921253,0.0011369527735945026,1.2926616093842322e-06,0.014549813755555741,0.021287843591142656,acc#2022_12_4#13_58_16#-786849#11012961#136
329,0.00037391548682518113,0.0045751493780932925,0.0005664061849705769,3.2081596637292337e-07,0.004569017461803127,0.019336894446243976,acc#2022_12_4#12_6_43#-762484#10905307#142
330,0.00044467852286750315,0.003652209967881454,0.000602161128192021,3.625980243054874e-07,0.00364966726837072,0.021087401994259587,acc#2022_12_4#6_13_4#-691391#10760245#199
331,0.0011645378275548291,0.07607531933754637,0.005301599325637538,2.8106955409600404e-05,0.07607313256627862,0.03412532531060809,acc#2022_12_4#6_28_15#-691437#10760199#219
332,0.0004885976421895325,0.02180863661202938,0.0016450981094250684,2.706347789633934e-06,0.02180593153523432,0.022104244890733826,acc#2022_12_4#12_44_41#-761270#10939412#139
333,0.0004095031294586608,0.03277691276517245,0.0015834907754569214,2.5074430359571628e-06,0.032770359064771874,0.020236183668336793,acc#2022_12_4#12_9_33#-762052#10908551#136
334,0.0009992569531612754,0.11723394979337004,0.005965350537408531,3.558540703416025e-05,0.11723078032587171,0.03161102581633939,acc#2022_12_4#6_19_14#-691431#10760319#173
335,0.0004911002169757877,0.030857942221272316,0.0016996551182931782,2.888827521140198e-06,0.03085643415990652,0.022160781055183675,acc#2022_12_4#9_53_18#-721287#10819066#152
336,0.000395811012364304,0.020002706651336362,0.0011191976543128458,1.2526033894193764e-06,0.019999247489858932,0.01989499968244041,acc#2022_12_4#13_10_19#-767622#10965368#138
337,0.00042770669293630526,0.013431610952176045,0.0009786898936608945,9.57833907953973e-07,0.013422310288013186,0.020681070884659366,acc#2022_12_4#13_10_33#-767737#10965530#136
338,0.0012768090232619786,0.12961660909503955,0.00658950736383414,4.3421607298024365e-05,0.1295966035741573,0.03573246455622644,acc#2022_12_4#6_19_10#-691428#10760319#173
339,0.0005606860213940296,0.025254369969282226,0.0015369603579168944,2.362247141808028e-06,0.02524732622870897,0.023678809543429956,acc#2022_12_4#13_41_43#-775418#10995048#137
340,0.0003911270899701357,0.00950849118334563,0.0007964650927910022,6.343566440345798e-07,0.009504206957725261,0.019776933280216517,acc#2022_12_4#13_55_33#-787912#11009260#136
